,id_central,central_nombre,fecha,hora,generacion,energia_ernc,tipo_central
8736,400,SOLAR JAMA,2017-01-01,1,0.0,0.0,Solar
8737,400,SOLAR JAMA,2017-01-01,2,0.0,0.0,Solar
8738,400,SOLAR JAMA,2017-01-01,3,0.0,0.0,Solar
8739,400,SOLAR JAMA,2017-01-01,4,0.0,0.0,Solar
8740,400,SOLAR JAMA,2017-01-01,5,0.0,0.0,Solar
8741,400,SOLAR JAMA,2017-01-01,6,0.0,0.0,Solar
8742,400,SOLAR JAMA,2017-01-01,7,0.0306,0.0306,Solar
8743,400,SOLAR JAMA,2017-01-01,8,12.2667,12.2667,Solar
8744,400,SOLAR JAMA,2017-01-01,9,37.5973,37.5973,Solar
8745,400,SOLAR JAMA,2017-01-01,10,46.3474,46.3474,Solar
8746,400,SOLAR JAMA,2017-01-01,11,48.8472,48.8472,Solar
8747,400,SOLAR JAMA,2017-01-01,12,48.8085,48.8085,Solar
8748,400,SOLAR JAMA,2017-01-01,13,50.1115,50.1115,Solar
8749,400,SOLAR JAMA,2017-01-01,14,52.2097,52.2097,Solar
8750,400,SOLAR JAMA,2017-01-01,15,51.9395,51.9395,Solar
8751,400,SOLAR JAMA,2017-01-01,16,51.4317,51.4317,Solar
8752,400,SOLAR JAMA,2017-01-01,17,51.6992,51.6992,Solar
8753,400,SOLAR JAMA,2017-01-01,18,50.1071,50.1071,Solar
8754,400,SOLAR JAMA,2017-01-01,19,45.0525,45.0525,Solar
8755,400,SOLAR JAMA,2017-01-01,20,21.2718,21.2718,Solar
8756,400,SOLAR JAMA,2017-01-01,21,0.3747,0.3747,Solar
8757,400,SOLAR JAMA,2017-01-01,22,0.0,0.0,Solar
8758,400,SOLAR JAMA,2017-01-01,23,0.0,0.0,Solar
8759,400,SOLAR JAMA,2017-01-01,24,0.0,0.0,Solar
13920,400,SOLAR JAMA,2017-01-02,1,0.0,0.0,Solar
13921,400,SOLAR JAMA,2017-01-02,2,0.0,0.0,Solar
13922,400,SOLAR JAMA,2017-01-02,3,0.0,0.0,Solar
13923,400,SOLAR JAMA,2017-01-02,4,0.0,0.0,Solar
13924,400,SOLAR JAMA,2017-01-02,5,0.0,0.0,Solar
13925,400,SOLAR JAMA,2017-01-02,6,0.0,0.0,Solar
13926,400,SOLAR JAMA,2017-01-02,7,0.0,0.0,Solar
13927,400,SOLAR JAMA,2017-01-02,8,9.4448,9.4448,Solar
13928,400,SOLAR JAMA,2017-01-02,9,35.4898,35.4898,Solar
13929,400,SOLAR JAMA,2017-01-02,10,45.9589,45.9589,Solar
13930,400,SOLAR JAMA,2017-01-02,11,48.0721,48.0721,Solar
13931,400,SOLAR JAMA,2017-01-02,12,48.4179,48.4179,Solar
13932,400,SOLAR JAMA,2017-01-02,13,50.8482,50.8482,Solar
13933,400,SOLAR JAMA,2017-01-02,14,52.0056,52.0056,Solar
13934,400,SOLAR JAMA,2017-01-02,15,52.1777,52.1777,Solar
13935,400,SOLAR JAMA,2017-01-02,16,52.1524,52.1524,Solar
13936,400,SOLAR JAMA,2017-01-02,17,51.6568,51.6568,Solar
13937,400,SOLAR JAMA,2017-01-02,18,49.7321,49.7321,Solar
13938,400,SOLAR JAMA,2017-01-02,19,44.5804,44.5804,Solar
13939,400,SOLAR JAMA,2017-01-02,20,21.0689,21.0689,Solar
13940,400,SOLAR JAMA,2017-01-02,21,0.3832,0.3832,Solar
13941,400,SOLAR JAMA,2017-01-02,22,0.0,0.0,Solar
13942,400,SOLAR JAMA,2017-01-02,23,0.0,0.0,Solar
13943,400,SOLAR JAMA,2017-01-02,24,0.0,0.0,Solar
25512,400,SOLAR JAMA,2017-01-03,1,0.0,0.0,Solar
25513,400,SOLAR JAMA,2017-01-03,2,0.0,0.0,Solar
25514,400,SOLAR JAMA,2017-01-03,3,0.0,0.0,Solar
25515,400,SOLAR JAMA,2017-01-03,4,0.0,0.0,Solar
