,year_ms,month_ms,generacion,tot_hr,fp
0,2016,1,99.47,744,0
1,2016,2,381.602,696,0
2,2016,3,426.334,744,0
3,2016,4,376.5755,720,0
4,2016,5,380.2595,744,0
5,2016,6,342.0197,720,0
6,2016,7,314.77189999999996,744,0
7,2016,8,393.00250000000005,744,0
8,2016,9,84.02969999999999,240,0
9,2016,10,207.09210000000002,696,0
10,2016,11,263.83270000000005,720,0
11,2016,12,291.4598,744,0
12,2017,1,276.584,744,0
13,2017,2,244.15930000000003,672,0
14,2017,3,213.6877,720,0
15,2017,4,75.0284,216,0
16,2017,5,225.95950000000002,720,0
17,2017,6,225.6876,696,0
18,2017,7,262.7308,720,0
19,2017,8,182.4155,552,0
20,2017,9,282.2937,720,0
21,2017,10,320.407,744,0
22,2017,11,212.6749,576,0
23,2017,12,32.1973,72,0
24,2018,11,0.0,720,0
25,2018,12,0.0,744,0
26,2019,1,0.0,744,0
27,2019,2,0.0,672,0
28,2019,3,0.0,72,0
