,id_central,central_nombre,fecha,hora,generacion,energia_ernc,tipo_central
5016,278,SANTA CECILIA,2017-06-01,1,0.0,0.0,Solar
5017,278,SANTA CECILIA,2017-06-01,2,0.0,0.0,Solar
5018,278,SANTA CECILIA,2017-06-01,3,0.0,0.0,Solar
5019,278,SANTA CECILIA,2017-06-01,4,0.0,0.0,Solar
5020,278,SANTA CECILIA,2017-06-01,5,0.0,0.0,Solar
5021,278,SANTA CECILIA,2017-06-01,6,0.0,0.0,Solar
5022,278,SANTA CECILIA,2017-06-01,7,0.0,0.0,Solar
5023,278,SANTA CECILIA,2017-06-01,8,0.006999999999999999,0.006999999999999999,Solar
5024,278,SANTA CECILIA,2017-06-01,9,0.41600000000000004,0.41600000000000004,Solar
5025,278,SANTA CECILIA,2017-06-01,10,1.5290000000000001,1.5290000000000001,Solar
5026,278,SANTA CECILIA,2017-06-01,11,1.9569999999999999,1.9569999999999999,Solar
5027,278,SANTA CECILIA,2017-06-01,12,2.1919999999999997,2.1919999999999997,Solar
5028,278,SANTA CECILIA,2017-06-01,13,2.242,2.242,Solar
5029,278,SANTA CECILIA,2017-06-01,14,2.187,2.187,Solar
5030,278,SANTA CECILIA,2017-06-01,15,1.966,1.966,Solar
5031,278,SANTA CECILIA,2017-06-01,16,1.5819999999999999,1.5819999999999999,Solar
5032,278,SANTA CECILIA,2017-06-01,17,0.616,0.616,Solar
5033,278,SANTA CECILIA,2017-06-01,18,0.035,0.035,Solar
5034,278,SANTA CECILIA,2017-06-01,19,0.0,0.0,Solar
5035,278,SANTA CECILIA,2017-06-01,20,0.0,0.0,Solar
5036,278,SANTA CECILIA,2017-06-01,21,0.0,0.0,Solar
5037,278,SANTA CECILIA,2017-06-01,22,0.0,0.0,Solar
5038,278,SANTA CECILIA,2017-06-01,23,0.0,0.0,Solar
5039,278,SANTA CECILIA,2017-06-01,24,0.0,0.0,Solar
14640,278,SANTA CECILIA,2017-06-02,1,0.0,0.0,Solar
14641,278,SANTA CECILIA,2017-06-02,2,0.0,0.0,Solar
14642,278,SANTA CECILIA,2017-06-02,3,0.0,0.0,Solar
14643,278,SANTA CECILIA,2017-06-02,4,0.0,0.0,Solar
14644,278,SANTA CECILIA,2017-06-02,5,0.0,0.0,Solar
14645,278,SANTA CECILIA,2017-06-02,6,0.0,0.0,Solar
14646,278,SANTA CECILIA,2017-06-02,7,0.0,0.0,Solar
14647,278,SANTA CECILIA,2017-06-02,8,0.009000000000000001,0.009000000000000001,Solar
14648,278,SANTA CECILIA,2017-06-02,9,0.414,0.414,Solar
14649,278,SANTA CECILIA,2017-06-02,10,1.452,1.452,Solar
14650,278,SANTA CECILIA,2017-06-02,11,1.714,1.714,Solar
14651,278,SANTA CECILIA,2017-06-02,12,2.0340000000000003,2.0340000000000003,Solar
14652,278,SANTA CECILIA,2017-06-02,13,2.295,2.295,Solar
14653,278,SANTA CECILIA,2017-06-02,14,2.214,2.214,Solar
14654,278,SANTA CECILIA,2017-06-02,15,1.9809999999999999,1.9809999999999999,Solar
14655,278,SANTA CECILIA,2017-06-02,16,1.5830000000000002,1.5830000000000002,Solar
14656,278,SANTA CECILIA,2017-06-02,17,0.606,0.606,Solar
14657,278,SANTA CECILIA,2017-06-02,18,0.032,0.032,Solar
14658,278,SANTA CECILIA,2017-06-02,19,0.0,0.0,Solar
14659,278,SANTA CECILIA,2017-06-02,20,0.0,0.0,Solar
14660,278,SANTA CECILIA,2017-06-02,21,0.0,0.0,Solar
14661,278,SANTA CECILIA,2017-06-02,22,0.0,0.0,Solar
14662,278,SANTA CECILIA,2017-06-02,23,0.0,0.0,Solar
14663,278,SANTA CECILIA,2017-06-02,24,0.0,0.0,Solar
21216,278,SANTA CECILIA,2017-06-03,1,0.0,0.0,Solar
21217,278,SANTA CECILIA,2017-06-03,2,0.0,0.0,Solar
21218,278,SANTA CECILIA,2017-06-03,3,0.0,0.0,Solar
21219,278,SANTA CECILIA,2017-06-03,4,0.0,0.0,Solar
21220,278,SANTA CECILIA,2017-06-03,5,0.0,0.0,Solar
21221,278,SANTA CECILIA,2017-06-03,6,0.0,0.0,Solar
21222,278,SANTA CECILIA,2017-06-03,7,0.0,0.0,Solar
21223,278,SANTA CECILIA,2017-06-03,8,0.009000000000000001,0.009000000000000001,Solar
21224,278,SANTA CECILIA,2017-06-03,9,0.305,0.305,Solar
21225,278,SANTA CECILIA,2017-06-03,10,1.2930000000000001,1.2930000000000001,Solar
21226,278,SANTA CECILIA,2017-06-03,11,1.8769999999999998,1.8769999999999998,Solar
21227,278,SANTA CECILIA,2017-06-03,12,1.837,1.837,Solar
21228,278,SANTA CECILIA,2017-06-03,13,1.876,1.876,Solar
21229,278,SANTA CECILIA,2017-06-03,14,1.806,1.806,Solar
21230,278,SANTA CECILIA,2017-06-03,15,1.535,1.535,Solar
21231,278,SANTA CECILIA,2017-06-03,16,1.205,1.205,Solar
21232,278,SANTA CECILIA,2017-06-03,17,0.581,0.581,Solar
21233,278,SANTA CECILIA,2017-06-03,18,0.08,0.08,Solar
21234,278,SANTA CECILIA,2017-06-03,19,0.0,0.0,Solar
21235,278,SANTA CECILIA,2017-06-03,20,0.0,0.0,Solar
21236,278,SANTA CECILIA,2017-06-03,21,0.0,0.0,Solar
21237,278,SANTA CECILIA,2017-06-03,22,0.0,0.0,Solar
21238,278,SANTA CECILIA,2017-06-03,23,0.0,0.0,Solar
21239,278,SANTA CECILIA,2017-06-03,24,0.0,0.0,Solar
35496,278,SANTA CECILIA,2017-06-04,1,0.0,0.0,Solar
35497,278,SANTA CECILIA,2017-06-04,2,0.0,0.0,Solar
35498,278,SANTA CECILIA,2017-06-04,3,0.0,0.0,Solar
35499,278,SANTA CECILIA,2017-06-04,4,0.0,0.0,Solar
35500,278,SANTA CECILIA,2017-06-04,5,0.0,0.0,Solar
35501,278,SANTA CECILIA,2017-06-04,6,0.0,0.0,Solar
35502,278,SANTA CECILIA,2017-06-04,7,0.0,0.0,Solar
35503,278,SANTA CECILIA,2017-06-04,8,0.009000000000000001,0.009000000000000001,Solar
35504,278,SANTA CECILIA,2017-06-04,9,0.305,0.305,Solar
35505,278,SANTA CECILIA,2017-06-04,10,1.2930000000000001,1.2930000000000001,Solar
35506,278,SANTA CECILIA,2017-06-04,11,1.8769999999999998,1.8769999999999998,Solar
35507,278,SANTA CECILIA,2017-06-04,12,1.837,1.837,Solar
35508,278,SANTA CECILIA,2017-06-04,13,1.876,1.876,Solar
35509,278,SANTA CECILIA,2017-06-04,14,1.806,1.806,Solar
35510,278,SANTA CECILIA,2017-06-04,15,1.535,1.535,Solar
35511,278,SANTA CECILIA,2017-06-04,16,1.205,1.205,Solar
35512,278,SANTA CECILIA,2017-06-04,17,0.581,0.581,Solar
35513,278,SANTA CECILIA,2017-06-04,18,0.08,0.08,Solar
35514,278,SANTA CECILIA,2017-06-04,19,0.0,0.0,Solar
35515,278,SANTA CECILIA,2017-06-04,20,0.0,0.0,Solar
35516,278,SANTA CECILIA,2017-06-04,21,0.0,0.0,Solar
35517,278,SANTA CECILIA,2017-06-04,22,0.0,0.0,Solar
35518,278,SANTA CECILIA,2017-06-04,23,0.0,0.0,Solar
35519,278,SANTA CECILIA,2017-06-04,24,0.0,0.0,Solar
40296,278,SANTA CECILIA,2017-06-05,1,0.0,0.0,Solar
40297,278,SANTA CECILIA,2017-06-05,2,0.0,0.0,Solar
40298,278,SANTA CECILIA,2017-06-05,3,0.0,0.0,Solar
40299,278,SANTA CECILIA,2017-06-05,4,0.0,0.0,Solar
40300,278,SANTA CECILIA,2017-06-05,5,0.0,0.0,Solar
40301,278,SANTA CECILIA,2017-06-05,6,0.0,0.0,Solar
40302,278,SANTA CECILIA,2017-06-05,7,0.0,0.0,Solar
40303,278,SANTA CECILIA,2017-06-05,8,0.005,0.005,Solar
40304,278,SANTA CECILIA,2017-06-05,9,0.331,0.331,Solar
40305,278,SANTA CECILIA,2017-06-05,10,1.479,1.479,Solar
40306,278,SANTA CECILIA,2017-06-05,11,1.94,1.94,Solar
40307,278,SANTA CECILIA,2017-06-05,12,2.2119999999999997,2.2119999999999997,Solar
40308,278,SANTA CECILIA,2017-06-05,13,2.313,2.313,Solar
40309,278,SANTA CECILIA,2017-06-05,14,2.2319999999999998,2.2319999999999998,Solar
40310,278,SANTA CECILIA,2017-06-05,15,2.0069999999999997,2.0069999999999997,Solar
40311,278,SANTA CECILIA,2017-06-05,16,1.6230000000000002,1.6230000000000002,Solar
40312,278,SANTA CECILIA,2017-06-05,17,0.59,0.59,Solar
40313,278,SANTA CECILIA,2017-06-05,18,0.028999999999999998,0.028999999999999998,Solar
40314,278,SANTA CECILIA,2017-06-05,19,0.0,0.0,Solar
40315,278,SANTA CECILIA,2017-06-05,20,0.0,0.0,Solar
40316,278,SANTA CECILIA,2017-06-05,21,0.0,0.0,Solar
40317,278,SANTA CECILIA,2017-06-05,22,0.0,0.0,Solar
40318,278,SANTA CECILIA,2017-06-05,23,0.0,0.0,Solar
40319,278,SANTA CECILIA,2017-06-05,24,0.0,0.0,Solar
48048,278,SANTA CECILIA,2017-06-06,1,0.0,0.0,Solar
48049,278,SANTA CECILIA,2017-06-06,2,0.0,0.0,Solar
48050,278,SANTA CECILIA,2017-06-06,3,0.0,0.0,Solar
48051,278,SANTA CECILIA,2017-06-06,4,0.0,0.0,Solar
48052,278,SANTA CECILIA,2017-06-06,5,0.0,0.0,Solar
48053,278,SANTA CECILIA,2017-06-06,6,0.0,0.0,Solar
48054,278,SANTA CECILIA,2017-06-06,7,0.0,0.0,Solar
48055,278,SANTA CECILIA,2017-06-06,8,0.003,0.003,Solar
48056,278,SANTA CECILIA,2017-06-06,9,0.271,0.271,Solar
48057,278,SANTA CECILIA,2017-06-06,10,1.023,1.023,Solar
48058,278,SANTA CECILIA,2017-06-06,11,1.304,1.304,Solar
48059,278,SANTA CECILIA,2017-06-06,12,1.507,1.507,Solar
48060,278,SANTA CECILIA,2017-06-06,13,1.538,1.538,Solar
48061,278,SANTA CECILIA,2017-06-06,14,1.9069999999999998,1.9069999999999998,Solar
48062,278,SANTA CECILIA,2017-06-06,15,1.9680000000000002,1.9680000000000002,Solar
48063,278,SANTA CECILIA,2017-06-06,16,1.534,1.534,Solar
48064,278,SANTA CECILIA,2017-06-06,17,0.583,0.583,Solar
48065,278,SANTA CECILIA,2017-06-06,18,0.032,0.032,Solar
48066,278,SANTA CECILIA,2017-06-06,19,0.0,0.0,Solar
48067,278,SANTA CECILIA,2017-06-06,20,0.0,0.0,Solar
48068,278,SANTA CECILIA,2017-06-06,21,0.0,0.0,Solar
48069,278,SANTA CECILIA,2017-06-06,22,0.0,0.0,Solar
48070,278,SANTA CECILIA,2017-06-06,23,0.0,0.0,Solar
48071,278,SANTA CECILIA,2017-06-06,24,0.0,0.0,Solar
59976,278,SANTA CECILIA,2017-06-07,1,0.0,0.0,Solar
59977,278,SANTA CECILIA,2017-06-07,2,0.0,0.0,Solar
59978,278,SANTA CECILIA,2017-06-07,3,0.0,0.0,Solar
59979,278,SANTA CECILIA,2017-06-07,4,0.0,0.0,Solar
59980,278,SANTA CECILIA,2017-06-07,5,0.0,0.0,Solar
59981,278,SANTA CECILIA,2017-06-07,6,0.0,0.0,Solar
59982,278,SANTA CECILIA,2017-06-07,7,0.0,0.0,Solar
59983,278,SANTA CECILIA,2017-06-07,8,0.0,0.0,Solar
59984,278,SANTA CECILIA,2017-06-07,9,0.016,0.016,Solar
59985,278,SANTA CECILIA,2017-06-07,10,0.09300000000000001,0.09300000000000001,Solar
59986,278,SANTA CECILIA,2017-06-07,11,0.125,0.125,Solar
59987,278,SANTA CECILIA,2017-06-07,12,0.128,0.128,Solar
59988,278,SANTA CECILIA,2017-06-07,13,0.177,0.177,Solar
59989,278,SANTA CECILIA,2017-06-07,14,0.179,0.179,Solar
59990,278,SANTA CECILIA,2017-06-07,15,0.315,0.315,Solar
59991,278,SANTA CECILIA,2017-06-07,16,0.235,0.235,Solar
59992,278,SANTA CECILIA,2017-06-07,17,0.047,0.047,Solar
59993,278,SANTA CECILIA,2017-06-07,18,0.013999999999999999,0.013999999999999999,Solar
59994,278,SANTA CECILIA,2017-06-07,19,0.0,0.0,Solar
59995,278,SANTA CECILIA,2017-06-07,20,0.0,0.0,Solar
59996,278,SANTA CECILIA,2017-06-07,21,0.0,0.0,Solar
59997,278,SANTA CECILIA,2017-06-07,22,0.0,0.0,Solar
59998,278,SANTA CECILIA,2017-06-07,23,0.0,0.0,Solar
59999,278,SANTA CECILIA,2017-06-07,24,0.0,0.0,Solar
70152,278,SANTA CECILIA,2017-06-08,1,0.0,0.0,Solar
70153,278,SANTA CECILIA,2017-06-08,2,0.0,0.0,Solar
70154,278,SANTA CECILIA,2017-06-08,3,0.0,0.0,Solar
70155,278,SANTA CECILIA,2017-06-08,4,0.0,0.0,Solar
70156,278,SANTA CECILIA,2017-06-08,5,0.0,0.0,Solar
70157,278,SANTA CECILIA,2017-06-08,6,0.0,0.0,Solar
70158,278,SANTA CECILIA,2017-06-08,7,0.0,0.0,Solar
70159,278,SANTA CECILIA,2017-06-08,8,0.004,0.004,Solar
70160,278,SANTA CECILIA,2017-06-08,9,0.293,0.293,Solar
70161,278,SANTA CECILIA,2017-06-08,10,1.505,1.505,Solar
70162,278,SANTA CECILIA,2017-06-08,11,1.9980000000000002,1.9980000000000002,Solar
70163,278,SANTA CECILIA,2017-06-08,12,2.275,2.275,Solar
70164,278,SANTA CECILIA,2017-06-08,13,2.36,2.36,Solar
70165,278,SANTA CECILIA,2017-06-08,14,2.2640000000000002,2.2640000000000002,Solar
70166,278,SANTA CECILIA,2017-06-08,15,2.016,2.016,Solar
70167,278,SANTA CECILIA,2017-06-08,16,1.595,1.595,Solar
70168,278,SANTA CECILIA,2017-06-08,17,0.545,0.545,Solar
70169,278,SANTA CECILIA,2017-06-08,18,0.026000000000000002,0.026000000000000002,Solar
70170,278,SANTA CECILIA,2017-06-08,19,0.0,0.0,Solar
70171,278,SANTA CECILIA,2017-06-08,20,0.0,0.0,Solar
70172,278,SANTA CECILIA,2017-06-08,21,0.0,0.0,Solar
70173,278,SANTA CECILIA,2017-06-08,22,0.0,0.0,Solar
70174,278,SANTA CECILIA,2017-06-08,23,0.0,0.0,Solar
70175,278,SANTA CECILIA,2017-06-08,24,0.0,0.0,Solar
82320,278,SANTA CECILIA,2017-06-09,1,0.0,0.0,Solar
82321,278,SANTA CECILIA,2017-06-09,2,0.0,0.0,Solar
82322,278,SANTA CECILIA,2017-06-09,3,0.0,0.0,Solar
82323,278,SANTA CECILIA,2017-06-09,4,0.0,0.0,Solar
82324,278,SANTA CECILIA,2017-06-09,5,0.0,0.0,Solar
82325,278,SANTA CECILIA,2017-06-09,6,0.0,0.0,Solar
82326,278,SANTA CECILIA,2017-06-09,7,0.0,0.0,Solar
82327,278,SANTA CECILIA,2017-06-09,8,0.004,0.004,Solar
82328,278,SANTA CECILIA,2017-06-09,9,0.289,0.289,Solar
82329,278,SANTA CECILIA,2017-06-09,10,1.486,1.486,Solar
82330,278,SANTA CECILIA,2017-06-09,11,1.94,1.94,Solar
82331,278,SANTA CECILIA,2017-06-09,12,2.217,2.217,Solar
82332,278,SANTA CECILIA,2017-06-09,13,2.3080000000000003,2.3080000000000003,Solar
82333,278,SANTA CECILIA,2017-06-09,14,2.206,2.206,Solar
82334,278,SANTA CECILIA,2017-06-09,15,1.979,1.979,Solar
82335,278,SANTA CECILIA,2017-06-09,16,1.558,1.558,Solar
82336,278,SANTA CECILIA,2017-06-09,17,0.536,0.536,Solar
82337,278,SANTA CECILIA,2017-06-09,18,0.026000000000000002,0.026000000000000002,Solar
82338,278,SANTA CECILIA,2017-06-09,19,0.0,0.0,Solar
82339,278,SANTA CECILIA,2017-06-09,20,0.0,0.0,Solar
82340,278,SANTA CECILIA,2017-06-09,21,0.0,0.0,Solar
82341,278,SANTA CECILIA,2017-06-09,22,0.0,0.0,Solar
82342,278,SANTA CECILIA,2017-06-09,23,0.0,0.0,Solar
82343,278,SANTA CECILIA,2017-06-09,24,0.0,0.0,Solar
88056,278,SANTA CECILIA,2017-06-10,1,0.0,0.0,Solar
88057,278,SANTA CECILIA,2017-06-10,2,0.0,0.0,Solar
88058,278,SANTA CECILIA,2017-06-10,3,0.0,0.0,Solar
88059,278,SANTA CECILIA,2017-06-10,4,0.0,0.0,Solar
88060,278,SANTA CECILIA,2017-06-10,5,0.0,0.0,Solar
88061,278,SANTA CECILIA,2017-06-10,6,0.0,0.0,Solar
88062,278,SANTA CECILIA,2017-06-10,7,0.0,0.0,Solar
