,year_ms,month_ms,generacion,tot_hr,fp
0,2016,1,2910.2952,744,0
1,2016,2,2465.152,696,0
2,2016,3,2619.202,744,0
3,2016,4,2087.8154999999997,720,0
4,2016,5,2061.0727,744,0
5,2016,6,1723.2187,720,0
6,2016,7,1929.0294999999999,744,0
7,2016,8,2177.1726,744,0
8,2016,9,2576.0319,720,0
9,2016,10,2898.7372000000005,744,0
10,2016,11,2775.5364,720,0
11,2016,12,2943.3250000000003,744,0
12,2017,1,2515.6669,744,0
13,2017,2,2402.0618999999997,672,0
14,2017,3,2200.3102,720,0
15,2017,4,2001.8874,624,0
16,2017,5,1632.3727999999999,744,0
17,2017,6,1697.2038,696,0
18,2017,7,1677.9159,624,0
19,2017,8,1763.2309,624,0
20,2017,9,2356.8941,720,0
21,2017,10,2816.2565000000004,744,0
22,2017,11,1797.0656000000001,528,0
23,2017,12,297.2774,72,0
