,id_central,central_nombre,fecha,hora,generacion,energia_ernc,tipo_central
7440,455,URIBE SOLAR,2019-03-01,1,0.0,0.0,Solar
7441,455,URIBE SOLAR,2019-03-01,2,0.0,0.0,Solar
7442,455,URIBE SOLAR,2019-03-01,3,0.0,0.0,Solar
7443,455,URIBE SOLAR,2019-03-01,4,0.0,0.0,Solar
7444,455,URIBE SOLAR,2019-03-01,5,0.0,0.0,Solar
7445,455,URIBE SOLAR,2019-03-01,6,0.0,0.0,Solar
7446,455,URIBE SOLAR,2019-03-01,7,0.0,0.0,Solar
7447,455,URIBE SOLAR,2019-03-01,8,0.1502,0.1502,Solar
7448,455,URIBE SOLAR,2019-03-01,9,20.0846,20.0846,Solar
7449,455,URIBE SOLAR,2019-03-01,10,42.4584,42.4584,Solar
7450,455,URIBE SOLAR,2019-03-01,11,46.3608,46.3608,Solar
7451,455,URIBE SOLAR,2019-03-01,12,46.9351,46.9351,Solar
7452,455,URIBE SOLAR,2019-03-01,13,47.4993,47.4993,Solar
7453,455,URIBE SOLAR,2019-03-01,14,48.4934,48.4934,Solar
7454,455,URIBE SOLAR,2019-03-01,15,48.2211,48.2211,Solar
7455,455,URIBE SOLAR,2019-03-01,16,48.5005,48.5005,Solar
7456,455,URIBE SOLAR,2019-03-01,17,48.5672,48.5672,Solar
7457,455,URIBE SOLAR,2019-03-01,18,47.6634,47.6634,Solar
7458,455,URIBE SOLAR,2019-03-01,19,40.2293,40.2293,Solar
7459,455,URIBE SOLAR,2019-03-01,20,14.8657,14.8657,Solar
7460,455,URIBE SOLAR,2019-03-01,21,0.0508,0.0508,Solar
7461,455,URIBE SOLAR,2019-03-01,22,0.0,0.0,Solar
7462,455,URIBE SOLAR,2019-03-01,23,0.0,0.0,Solar
7463,455,URIBE SOLAR,2019-03-01,24,0.0,0.0,Solar
20376,455,URIBE SOLAR,2019-03-02,1,0.0,0.0,Solar
20377,455,URIBE SOLAR,2019-03-02,2,0.0,0.0,Solar
20378,455,URIBE SOLAR,2019-03-02,3,0.0,0.0,Solar
20379,455,URIBE SOLAR,2019-03-02,4,0.0,0.0,Solar
20380,455,URIBE SOLAR,2019-03-02,5,0.0,0.0,Solar
20381,455,URIBE SOLAR,2019-03-02,6,0.0,0.0,Solar
20382,455,URIBE SOLAR,2019-03-02,7,0.0,0.0,Solar
20383,455,URIBE SOLAR,2019-03-02,8,0.2597,0.2597,Solar
20384,455,URIBE SOLAR,2019-03-02,9,2.734,2.734,Solar
20385,455,URIBE SOLAR,2019-03-02,10,8.4043,8.4043,Solar
20386,455,URIBE SOLAR,2019-03-02,11,33.1729,33.1729,Solar
20387,455,URIBE SOLAR,2019-03-02,12,45.0321,45.0321,Solar
20388,455,URIBE SOLAR,2019-03-02,13,46.2424,46.2424,Solar
20389,455,URIBE SOLAR,2019-03-02,14,44.9788,44.9788,Solar
20390,455,URIBE SOLAR,2019-03-02,15,46.1508,46.1508,Solar
20391,455,URIBE SOLAR,2019-03-02,16,44.4947,44.4947,Solar
20392,455,URIBE SOLAR,2019-03-02,17,47.9225,47.9225,Solar
20393,455,URIBE SOLAR,2019-03-02,18,47.24,47.24,Solar
20394,455,URIBE SOLAR,2019-03-02,19,40.4,40.4,Solar
20395,455,URIBE SOLAR,2019-03-02,20,15.4694,15.4694,Solar
20396,455,URIBE SOLAR,2019-03-02,21,0.0267,0.0267,Solar
20397,455,URIBE SOLAR,2019-03-02,22,0.0,0.0,Solar
20398,455,URIBE SOLAR,2019-03-02,23,0.0,0.0,Solar
20399,455,URIBE SOLAR,2019-03-02,24,0.0,0.0,Solar
23808,455,URIBE SOLAR,2019-03-03,1,0.0,0.0,Solar
23809,455,URIBE SOLAR,2019-03-03,2,0.0,0.0,Solar
23810,455,URIBE SOLAR,2019-03-03,3,0.0,0.0,Solar
23811,455,URIBE SOLAR,2019-03-03,4,0.0,0.0,Solar
23812,455,URIBE SOLAR,2019-03-03,5,0.0,0.0,Solar
23813,455,URIBE SOLAR,2019-03-03,6,0.0,0.0,Solar
23814,455,URIBE SOLAR,2019-03-03,7,0.0,0.0,Solar
23815,455,URIBE SOLAR,2019-03-03,8,0.1339,0.1339,Solar
23816,455,URIBE SOLAR,2019-03-03,9,19.9939,19.9939,Solar
23817,455,URIBE SOLAR,2019-03-03,10,42.922,42.922,Solar
23818,455,URIBE SOLAR,2019-03-03,11,47.4272,47.4272,Solar
23819,455,URIBE SOLAR,2019-03-03,12,48.1397,48.1397,Solar
23820,455,URIBE SOLAR,2019-03-03,13,48.4634,48.4634,Solar
23821,455,URIBE SOLAR,2019-03-03,14,48.4255,48.4255,Solar
23822,455,URIBE SOLAR,2019-03-03,15,48.6437,48.6437,Solar
23823,455,URIBE SOLAR,2019-03-03,16,48.3757,48.3757,Solar
23824,455,URIBE SOLAR,2019-03-03,17,48.3465,48.3465,Solar
23825,455,URIBE SOLAR,2019-03-03,18,47.3338,47.3338,Solar
23826,455,URIBE SOLAR,2019-03-03,19,41.9299,41.9299,Solar
23827,455,URIBE SOLAR,2019-03-03,20,15.0925,15.0925,Solar
23828,455,URIBE SOLAR,2019-03-03,21,0.0094,0.0094,Solar
23829,455,URIBE SOLAR,2019-03-03,22,0.0,0.0,Solar
23830,455,URIBE SOLAR,2019-03-03,23,0.0,0.0,Solar
23831,455,URIBE SOLAR,2019-03-03,24,0.0,0.0,Solar
