,id_central,central_nombre,fecha,hora,generacion,energia_ernc,tipo_central
5952,308,TECHOS DE ALTAMIRA,2018-03-01,1,0.0,0.0,Solar
5953,308,TECHOS DE ALTAMIRA,2018-03-01,2,0.0,0.0,Solar
5954,308,TECHOS DE ALTAMIRA,2018-03-01,3,0.0,0.0,Solar
5955,308,TECHOS DE ALTAMIRA,2018-03-01,4,0.0,0.0,Solar
5956,308,TECHOS DE ALTAMIRA,2018-03-01,5,0.0,0.0,Solar
5957,308,TECHOS DE ALTAMIRA,2018-03-01,6,0.0,0.0,Solar
5958,308,TECHOS DE ALTAMIRA,2018-03-01,7,0.0048,0.0048,Solar
5959,308,TECHOS DE ALTAMIRA,2018-03-01,8,0.0331,0.0331,Solar
5960,308,TECHOS DE ALTAMIRA,2018-03-01,9,0.0514,0.0514,Solar
5961,308,TECHOS DE ALTAMIRA,2018-03-01,10,0.065,0.065,Solar
5962,308,TECHOS DE ALTAMIRA,2018-03-01,11,0.0737,0.0737,Solar
5963,308,TECHOS DE ALTAMIRA,2018-03-01,12,0.0758,0.0758,Solar
5964,308,TECHOS DE ALTAMIRA,2018-03-01,13,0.07400000000000001,0.07400000000000001,Solar
5965,308,TECHOS DE ALTAMIRA,2018-03-01,14,0.0674,0.0674,Solar
5966,308,TECHOS DE ALTAMIRA,2018-03-01,15,0.0551,0.0551,Solar
5967,308,TECHOS DE ALTAMIRA,2018-03-01,16,0.0367,0.0367,Solar
5968,308,TECHOS DE ALTAMIRA,2018-03-01,17,0.0161,0.0161,Solar
5969,308,TECHOS DE ALTAMIRA,2018-03-01,18,0.0032,0.0032,Solar
5970,308,TECHOS DE ALTAMIRA,2018-03-01,19,0.0,0.0,Solar
5971,308,TECHOS DE ALTAMIRA,2018-03-01,20,0.0,0.0,Solar
5972,308,TECHOS DE ALTAMIRA,2018-03-01,21,0.0,0.0,Solar
5973,308,TECHOS DE ALTAMIRA,2018-03-01,22,0.0,0.0,Solar
5974,308,TECHOS DE ALTAMIRA,2018-03-01,23,0.0,0.0,Solar
5975,308,TECHOS DE ALTAMIRA,2018-03-01,24,0.0,0.0,Solar
11976,308,TECHOS DE ALTAMIRA,2018-03-02,1,0.0,0.0,Solar
11977,308,TECHOS DE ALTAMIRA,2018-03-02,2,0.0,0.0,Solar
11978,308,TECHOS DE ALTAMIRA,2018-03-02,3,0.0,0.0,Solar
11979,308,TECHOS DE ALTAMIRA,2018-03-02,4,0.0,0.0,Solar
11980,308,TECHOS DE ALTAMIRA,2018-03-02,5,0.0,0.0,Solar
11981,308,TECHOS DE ALTAMIRA,2018-03-02,6,0.0,0.0,Solar
11982,308,TECHOS DE ALTAMIRA,2018-03-02,7,0.0035,0.0035,Solar
11983,308,TECHOS DE ALTAMIRA,2018-03-02,8,0.0296,0.0296,Solar
11984,308,TECHOS DE ALTAMIRA,2018-03-02,9,0.0489,0.0489,Solar
11985,308,TECHOS DE ALTAMIRA,2018-03-02,10,0.0628,0.0628,Solar
11986,308,TECHOS DE ALTAMIRA,2018-03-02,11,0.071,0.071,Solar
11987,308,TECHOS DE ALTAMIRA,2018-03-02,12,0.0736,0.0736,Solar
11988,308,TECHOS DE ALTAMIRA,2018-03-02,13,0.07200000000000001,0.07200000000000001,Solar
11989,308,TECHOS DE ALTAMIRA,2018-03-02,14,0.0654,0.0654,Solar
11990,308,TECHOS DE ALTAMIRA,2018-03-02,15,0.0537,0.0537,Solar
11991,308,TECHOS DE ALTAMIRA,2018-03-02,16,0.0351,0.0351,Solar
11992,308,TECHOS DE ALTAMIRA,2018-03-02,17,0.0157,0.0157,Solar
11993,308,TECHOS DE ALTAMIRA,2018-03-02,18,0.0032,0.0032,Solar
11994,308,TECHOS DE ALTAMIRA,2018-03-02,19,0.0,0.0,Solar
11995,308,TECHOS DE ALTAMIRA,2018-03-02,20,0.0,0.0,Solar
11996,308,TECHOS DE ALTAMIRA,2018-03-02,21,0.0,0.0,Solar
11997,308,TECHOS DE ALTAMIRA,2018-03-02,22,0.0,0.0,Solar
11998,308,TECHOS DE ALTAMIRA,2018-03-02,23,0.0,0.0,Solar
11999,308,TECHOS DE ALTAMIRA,2018-03-02,24,0.0,0.0,Solar
26328,308,TECHOS DE ALTAMIRA,2018-03-03,1,0.0,0.0,Solar
26329,308,TECHOS DE ALTAMIRA,2018-03-03,2,0.0,0.0,Solar
26330,308,TECHOS DE ALTAMIRA,2018-03-03,3,0.0,0.0,Solar
26331,308,TECHOS DE ALTAMIRA,2018-03-03,4,0.0,0.0,Solar
26332,308,TECHOS DE ALTAMIRA,2018-03-03,5,0.0,0.0,Solar
26333,308,TECHOS DE ALTAMIRA,2018-03-03,6,0.0,0.0,Solar
26334,308,TECHOS DE ALTAMIRA,2018-03-03,7,0.004,0.004,Solar
26335,308,TECHOS DE ALTAMIRA,2018-03-03,8,0.0295,0.0295,Solar
26336,308,TECHOS DE ALTAMIRA,2018-03-03,9,0.0475,0.0475,Solar
26337,308,TECHOS DE ALTAMIRA,2018-03-03,10,0.0619,0.0619,Solar
26338,308,TECHOS DE ALTAMIRA,2018-03-03,11,0.0706,0.0706,Solar
26339,308,TECHOS DE ALTAMIRA,2018-03-03,12,0.0735,0.0735,Solar
26340,308,TECHOS DE ALTAMIRA,2018-03-03,13,0.0723,0.0723,Solar
26341,308,TECHOS DE ALTAMIRA,2018-03-03,14,0.0653,0.0653,Solar
26342,308,TECHOS DE ALTAMIRA,2018-03-03,15,0.0525,0.0525,Solar
26343,308,TECHOS DE ALTAMIRA,2018-03-03,16,0.0347,0.0347,Solar
26344,308,TECHOS DE ALTAMIRA,2018-03-03,17,0.0152,0.0152,Solar
26345,308,TECHOS DE ALTAMIRA,2018-03-03,18,0.0031,0.0031,Solar
26346,308,TECHOS DE ALTAMIRA,2018-03-03,19,0.0,0.0,Solar
26347,308,TECHOS DE ALTAMIRA,2018-03-03,20,0.0,0.0,Solar
26348,308,TECHOS DE ALTAMIRA,2018-03-03,21,0.0,0.0,Solar
26349,308,TECHOS DE ALTAMIRA,2018-03-03,22,0.0,0.0,Solar
26350,308,TECHOS DE ALTAMIRA,2018-03-03,23,0.0,0.0,Solar
26351,308,TECHOS DE ALTAMIRA,2018-03-03,24,0.0,0.0,Solar
31464,308,TECHOS DE ALTAMIRA,2018-03-04,1,0.0,0.0,Solar
31465,308,TECHOS DE ALTAMIRA,2018-03-04,2,0.0,0.0,Solar
31466,308,TECHOS DE ALTAMIRA,2018-03-04,3,0.0,0.0,Solar
31467,308,TECHOS DE ALTAMIRA,2018-03-04,4,0.0,0.0,Solar
31468,308,TECHOS DE ALTAMIRA,2018-03-04,5,0.0,0.0,Solar
31469,308,TECHOS DE ALTAMIRA,2018-03-04,6,0.0,0.0,Solar
31470,308,TECHOS DE ALTAMIRA,2018-03-04,7,0.0035,0.0035,Solar
31471,308,TECHOS DE ALTAMIRA,2018-03-04,8,0.0303,0.0303,Solar
31472,308,TECHOS DE ALTAMIRA,2018-03-04,9,0.0485,0.0485,Solar
31473,308,TECHOS DE ALTAMIRA,2018-03-04,10,0.0633,0.0633,Solar
