,id_central,central_nombre,fecha,hora,generacion,energia_ernc,tipo_central
6144,344,LALACKAMA 2,2016-09-01,1,0.0,0.0,Solar
6145,344,LALACKAMA 2,2016-09-01,2,0.0,0.0,Solar
6146,344,LALACKAMA 2,2016-09-01,3,0.0,0.0,Solar
6147,344,LALACKAMA 2,2016-09-01,4,0.0,0.0,Solar
6148,344,LALACKAMA 2,2016-09-01,5,0.0,0.0,Solar
6149,344,LALACKAMA 2,2016-09-01,6,0.0,0.0,Solar
6150,344,LALACKAMA 2,2016-09-01,7,0.0,0.0,Solar
6151,344,LALACKAMA 2,2016-09-01,8,0.0,0.0,Solar
6152,344,LALACKAMA 2,2016-09-01,9,3.54,3.54,Solar
6153,344,LALACKAMA 2,2016-09-01,10,10.76,10.76,Solar
6154,344,LALACKAMA 2,2016-09-01,11,13.11,13.11,Solar
6155,344,LALACKAMA 2,2016-09-01,12,13.96,13.96,Solar
6156,344,LALACKAMA 2,2016-09-01,13,12.95,12.95,Solar
6157,344,LALACKAMA 2,2016-09-01,14,14.36,14.36,Solar
6158,344,LALACKAMA 2,2016-09-01,15,12.41,12.41,Solar
6159,344,LALACKAMA 2,2016-09-01,16,14.54,14.54,Solar
6160,344,LALACKAMA 2,2016-09-01,17,14.48,14.48,Solar
6161,344,LALACKAMA 2,2016-09-01,18,6.37,6.37,Solar
6162,344,LALACKAMA 2,2016-09-01,19,2.17,2.17,Solar
6163,344,LALACKAMA 2,2016-09-01,20,0.44,0.44,Solar
6164,344,LALACKAMA 2,2016-09-01,21,0.0,0.0,Solar
6165,344,LALACKAMA 2,2016-09-01,22,0.0,0.0,Solar
6166,344,LALACKAMA 2,2016-09-01,23,0.0,0.0,Solar
6167,344,LALACKAMA 2,2016-09-01,24,0.0,0.0,Solar
8976,344,LALACKAMA 2,2016-09-02,1,0.0,0.0,Solar
8977,344,LALACKAMA 2,2016-09-02,2,0.0,0.0,Solar
8978,344,LALACKAMA 2,2016-09-02,3,0.0,0.0,Solar
8979,344,LALACKAMA 2,2016-09-02,4,0.0,0.0,Solar
8980,344,LALACKAMA 2,2016-09-02,5,0.0,0.0,Solar
8981,344,LALACKAMA 2,2016-09-02,6,0.0,0.0,Solar
8982,344,LALACKAMA 2,2016-09-02,7,0.0,0.0,Solar
8983,344,LALACKAMA 2,2016-09-02,8,0.0,0.0,Solar
8984,344,LALACKAMA 2,2016-09-02,9,3.8,3.8,Solar
8985,344,LALACKAMA 2,2016-09-02,10,10.99,10.99,Solar
8986,344,LALACKAMA 2,2016-09-02,11,13.85,13.85,Solar
8987,344,LALACKAMA 2,2016-09-02,12,14.06,14.06,Solar
8988,344,LALACKAMA 2,2016-09-02,13,14.35,14.35,Solar
8989,344,LALACKAMA 2,2016-09-02,14,14.47,14.47,Solar
8990,344,LALACKAMA 2,2016-09-02,15,13.93,13.93,Solar
8991,344,LALACKAMA 2,2016-09-02,16,14.34,14.34,Solar
8992,344,LALACKAMA 2,2016-09-02,17,13.28,13.28,Solar
8993,344,LALACKAMA 2,2016-09-02,18,6.73,6.73,Solar
8994,344,LALACKAMA 2,2016-09-02,19,5.07,5.07,Solar
8995,344,LALACKAMA 2,2016-09-02,20,0.53,0.53,Solar
8996,344,LALACKAMA 2,2016-09-02,21,0.0,0.0,Solar
8997,344,LALACKAMA 2,2016-09-02,22,0.0,0.0,Solar
8998,344,LALACKAMA 2,2016-09-02,23,0.0,0.0,Solar
8999,344,LALACKAMA 2,2016-09-02,24,0.0,0.0,Solar
22200,344,LALACKAMA 2,2016-09-03,1,0.0,0.0,Solar
22201,344,LALACKAMA 2,2016-09-03,2,0.0,0.0,Solar
22202,344,LALACKAMA 2,2016-09-03,3,0.0,0.0,Solar
22203,344,LALACKAMA 2,2016-09-03,4,0.0,0.0,Solar
22204,344,LALACKAMA 2,2016-09-03,5,0.0,0.0,Solar
22205,344,LALACKAMA 2,2016-09-03,6,0.0,0.0,Solar
22206,344,LALACKAMA 2,2016-09-03,7,0.0,0.0,Solar
22207,344,LALACKAMA 2,2016-09-03,8,0.0,0.0,Solar
22208,344,LALACKAMA 2,2016-09-03,9,0.0,0.0,Solar
22209,344,LALACKAMA 2,2016-09-03,10,0.0,0.0,Solar
22210,344,LALACKAMA 2,2016-09-03,11,0.0,0.0,Solar
22211,344,LALACKAMA 2,2016-09-03,12,0.0,0.0,Solar
22212,344,LALACKAMA 2,2016-09-03,13,0.0,0.0,Solar
22213,344,LALACKAMA 2,2016-09-03,14,0.0,0.0,Solar
22214,344,LALACKAMA 2,2016-09-03,15,0.0,0.0,Solar
22215,344,LALACKAMA 2,2016-09-03,16,0.0,0.0,Solar
22216,344,LALACKAMA 2,2016-09-03,17,0.0,0.0,Solar
22217,344,LALACKAMA 2,2016-09-03,18,0.0,0.0,Solar
22218,344,LALACKAMA 2,2016-09-03,19,0.0,0.0,Solar
22219,344,LALACKAMA 2,2016-09-03,20,0.0,0.0,Solar
22220,344,LALACKAMA 2,2016-09-03,21,0.0,0.0,Solar
22221,344,LALACKAMA 2,2016-09-03,22,0.0,0.0,Solar
22222,344,LALACKAMA 2,2016-09-03,23,0.0,0.0,Solar
22223,344,LALACKAMA 2,2016-09-03,24,0.0,0.0,Solar
27504,344,LALACKAMA 2,2016-09-04,1,0.0,0.0,Solar
27505,344,LALACKAMA 2,2016-09-04,2,0.0,0.0,Solar
27506,344,LALACKAMA 2,2016-09-04,3,0.0,0.0,Solar
27507,344,LALACKAMA 2,2016-09-04,4,0.0,0.0,Solar
27508,344,LALACKAMA 2,2016-09-04,5,0.0,0.0,Solar
27509,344,LALACKAMA 2,2016-09-04,6,0.0,0.0,Solar
27510,344,LALACKAMA 2,2016-09-04,7,0.0,0.0,Solar
27511,344,LALACKAMA 2,2016-09-04,8,0.0,0.0,Solar
27512,344,LALACKAMA 2,2016-09-04,9,0.0,0.0,Solar
27513,344,LALACKAMA 2,2016-09-04,10,0.0,0.0,Solar
27514,344,LALACKAMA 2,2016-09-04,11,0.0,0.0,Solar
27515,344,LALACKAMA 2,2016-09-04,12,0.0,0.0,Solar
