ID;Nombre;Nombre Propietario;Nombre Grupo;Comuna;Tipo Central;Nemotecnico;Descripcion;Estado (Operativa/En Pruebas / En Construccion);Nombre Embalse;Nombre Cuenca;11.1.1 Cantidad unidades generadoras;11.1.2 Puntos de conexión al SI a través de los cuales inyecta energía.;11.1.4 Potencia máxima bruta, para cada tipo de combustible que pueda operar;11.1.5 Consumos propios como % de la potencia máxima bruta;11.1.6 Capacidad máxima, Potencia neta efectiva;11.1.7 Potencia mínima técnica, para cada combustible que pueda operar;11.1.11 Fecha de entrada en operación;Clasificacion;Distribuidora;Diagrama PQ equivalente de la central;Tipo de conversión de energía;Convencional / ERNC;Medio de generacion según DS 244;11.1.38 Tipo;11.1.38 Región;11.1.8 Provincia;11.1.8 Comuna;11.1.38 Número de Comunas de Emplazamiento;11.1.38 Sala de Maquinas: Comuna;11.1.38 Bocatoma: Comuna;11.1.38 Represa: Comuna;11.1.38 Embalse Comuna 1;11.1.38 Embalse Comuna 2;11.1.38 Embalse Comuna 3;11.1.39 Coordenada este;11.1.39 Coordenada norte;11.1.39 Zona o huso [ej: 18H, 19J];11.1.40 Parámetros de partida y detención;Seguimiento;Tecnología;Área de paneles (m2);Modelo del panel;Generación anual de diseño (GWh);Inversión;Empresa;Fecha ingreso SEIA;Fecha de aprobación;LINK;
242;HIDROBONITO MC2;HIDROBONITO;HIDROBONITO S.A.;Puerto Octay;Hidroeléctricas;CE02G114;MGNC - PMGD;Operativa;no aplica;no aplica;1;S/E RIO BONITO;3,2;1,5625;3,15;;29-05-2013 0:00:00;ERNC;LUZ OSORNO;;;;PMGD;Mini Hidráulica de Pasada;DE LOS LAGOS;OSORNO;PUERTO OCTAY;1;PUERTO OCTAY;no aplica;no aplica;no aplica;no aplica;no aplica;718639,0313;5467123,052;18G;;;;;;;;;;;;
243;ROBLERIA;GENERADORA ROBLERÍA;GENERADORA ELECTRICA ROBLERIA LTDA;Linares;Hidroeléctricas;CE01G115;PMGD - ERNC (Mini Central Hidroelectrica de pasada);Operativa;no aplica;no aplica;1;ALIMENTADOR PANIMAVIDA 13.2 KV;4;0,23;3,9908;;24-04-2013 0:00:00;ERNC;LUZ LINARES;;;;PMGD;Mini Hidráulica de Pasada;MAULE;LINARES;LINARES;1;LINARES;no aplica;no aplica;no aplica;no aplica;no aplica;294046,0429;6030258,997;19H;;;;;;;;;;;;
244;RÍO HUASCO;HIDROELÉCTRICA RIO HUASCO;HIDROELECTRICA RIO HUASCO S.A;Vallenar;Hidroeléctricas;CE01G117;PMG;Operativa;no aplica;no aplica;2;S/E EL EDEN;5,12;0,390625;5,1;;09/10/2013 12:00:00 a.m.;ERNC;no aplica;;;;PMG;Mini Hidráulica de Pasada;ATACAMA;HUASCO;VALLENAR;1;VALLENAR;no aplica;no aplica;no aplica;no aplica;no aplica;339259,9989;6826782,056;19J;;;;;;;;;;;;
246;SAN ANDRES;HIDROELÉCTRICA SAN ANDRÉS;HIDROELECTRICA SAN ANDRES;San Fernando;Hidroeléctricas;CE01G118;Central de pasada;Operativa;no aplica;no aplica;2;S/E CENTRAL SAN ANDRÉS 154KV;40,3;0,6;40,0582;;23-06-2014 0:00:00;HIDRÁULICA;no aplica;;;;no aplica;Hidraulica Pasada;LIBERTADOR GENERAL BERNARDO OHIGGINS;COLCHAGUA;SAN FERNANDO;1;SAN FERNANDO;no aplica;no aplica;no aplica;no aplica;no aplica;373430,6;6155511,413;19H;;;;;;;;;;;;
582;RODEO;GR QUILLAY SpA;GR QUILLAY SpA;Catemu;Solares;CE01G444;PMGD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418;EL ROMERO;ACCIONA ENERGÍA CHILE;ACCIONA ENERGIA CHILE;Vallenar;Solares;CE01G265;PRUEBAS;En Pruebas;no aplica;no aplica;no aplica;S/E EL ROMERO 220KV;196;0;196;;03/03/2017;ERNC;no aplica;;;;no aplica;SOLAR;ATACAMA;HUASCO;VALLENAR;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;313298,9747;6778249,32;19J;;No;policristalinas;1,64;TENESOL TE220/240-60P+;482;450000000;Avenir Solar Energy Chile SpA; 20 de Junio de 2013;4 de marzo de 2014;http://seia.sea.gob.cl/documentos/documento.php?idDocumento=8278366;
249;CONTRA;CONTRA;E.E. CONTRA S.P.A.;Río Bueno;Hidroeléctricas;CE01G121;PMGD;Operativa;no aplica;no aplica;1;ALIMENTADOR N°1 SUR (COOPREL);0,33;0,606060606;0,328;0;28-06-2013 0:00:00;ERNC;COOPREL;;;;PMGD;Mini Hidráulica de Pasada;DE LOS RÍOS;RANCO;RÍO BUENO;1;RIO BUENO;no aplica;no aplica;no aplica;no aplica;no aplica;679788,0001;5528217,015;18G;;;;;;;;;;;;
251;EÓLICA CUEL;AELA EOLICA NEGRETE SpA;AELA GENERACION;Los Angeles;Eólicas;CE01G122;Parque Eolico compuesto por 22 turbina Potencia Intalada de 33MW;Operativa;no aplica;no aplica;22;S/E CENTRAL CUEL 154KV;33;1,53;32,4951;;05/02/2014 12:00:00 a.m.;ERNC;no aplica;;;;no aplica;EÓLICA;BÍO BÍO;BÍO BÍO;LOS ÁNGELES;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;721518,0794;5845517,697;18H;;;;;;;;;;;;
252;CMPC LAJA;CMPC CELULOSA;BIOENERGIAS FORESTALES;Laja;Termoeléctricas;CE02A021;Autoproductora;Operativa;no aplica;no aplica;1;S/E  CELULOSA LAJA 220KV;25;0;25;9;01/05/2013;ERNC;no aplica;;;;no aplica;BIOMASA;BÍO BÍO;BÍO BÍO;LAJA;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;702871,0407;5870553,018;18H;TPO DE PARTIDA: 0 HRS;;;;;;;;;;;
253;LOS ALAMOS;SAGESA;SAGESA;Los Alamos;Termoeléctricas;CE16G018;PMGD;Operativa;no aplica;no aplica;1;ALIMENTADOR TRES PINOS;0,8;0;0,8;0;27-07-2013 0:00:00;TÉRMICA;FRONTEL;;;;PMGD;DIESEL;BÍO BÍO;ARAUCO;LOS ALAMOS;1;no aplica;no aplica;no aplica;no aplica;no aplica;no aplica;639604,01;5834533,011;18H;;;;;;;;;;;;
