,year_ms,month_ms,generacion,tot_hr,fp
0,2016,12,0.0,384,0
1,2017,1,0.0,744,0
2,2017,2,0.0,672,0
3,2017,3,0.0,744,0
4,2017,4,0.0,720,0
5,2017,5,0.0,744,0
6,2017,6,0.0,720,0
7,2017,7,0.0,744,0
8,2017,8,0.0,744,0
9,2017,9,0.0,720,0
10,2017,10,0.0,744,0
11,2017,11,0.0,720,0
12,2017,12,0.0,744,0
13,2018,1,0.0,744,0
14,2018,2,0.0,672,0
15,2018,3,0.0,744,0
16,2018,4,0.0,720,0
17,2018,5,26.724241004600003,744,0
18,2018,6,65.0063494806,720,0
19,2018,7,90.9707406107,744,0
20,2018,8,145.2805058612,744,0
21,2018,9,145.4878320766,720,0
22,2018,10,173.5832498546,744,0
23,2018,11,180.4782003988,720,0
24,2018,12,190.777097066,744,0
25,2019,1,186.3548375824,744,0
26,2019,2,163.1738111499,672,0
27,2019,3,16.9816207875,72,0
