,year_ms,month_ms,generacion,tot_hr,fp
0,2016,4,0.0,48,0.0
1,2016,5,0.0,744,0.0
2,2016,6,0.0,720,0.0
3,2016,7,447.3,744,0.005835853983880362
4,2016,8,5266.5,744,0.06871121172838347
5,2016,9,6621.5,720,0.08926934360102677
6,2016,10,6605.299999999999,744,0.08617832845903187
7,2016,11,11391.4,720,0.15357589680536682
8,2016,12,19078.8,744,0.24891815557267305
9,2017,1,20514.9,744,0.2676547303686726
10,2017,2,17132.6,672,0.24747564042118494
11,2017,3,18660.578161489997,744,0.24346167986863915
12,2017,4,14087.5,720,0.18992401691149507
13,2017,5,8679.2,744,0.11323618130313982
14,2017,6,7395.956,720,0.09971035829073105
15,2017,7,10041.867999999999,744,0.13101470014174094
16,2017,8,11942.241,744,0.15580857302997855
17,2017,9,14400.7618,720,0.1941473311546841
18,2017,10,20712.28,744,0.2702299167298134
19,2017,11,22908.964999999997,720,0.3088527173795811
20,2017,12,25020.075,744,0.32643305246084386
21,2018,1,26024.076,744,0.33953209837112747
22,2018,2,22683.659000000003,672,0.3276591432777732
23,2018,3,20737.146,744,0.2705543395895567
24,2018,4,12543.023000000001,720,0.1691017790504541
25,2018,5,8120.263000000001,744,0.1059438166302399
26,2018,6,9067.143,720,0.12224086746909986
27,2018,7,9847.64,744,0.1284806374375578
28,2018,8,13247.346000000001,744,0.1728360763021274
29,2018,9,13340.951999999997,720,0.17985925063094543
30,2018,10,19060.07,744,0.24867378815680433
31,2018,11,25049.392999999996,720,0.33770941187255976
32,2018,12,28174.945,744,0.3675941538651019
33,2019,1,25660.181,744,0.33478441653463265
34,2019,2,21670.746,672,0.31302789680228527
35,2019,3,2760.366,96,0.2791090322267521
