,year_ms,month_ms,generacion,tot_hr,fp
0,2016,12,0.0,408,0.0
1,2017,1,0.0,744,0.0
2,2017,2,0.0,672,0.0
3,2017,3,0.0,744,0.0
4,2017,4,0.0,720,0.0
5,2017,5,0.0,744,0.0
6,2017,6,0.0,720,0.0
7,2017,7,0.0,744,0.0
8,2017,8,0.0,744,0.0
9,2017,9,0.0,720,0.0
10,2017,10,0.0,744,0.0
11,2017,11,0.0,720,0.0
12,2017,12,0.0,744,0.0
13,2018,1,0.0,744,0.0
14,2018,2,0.0,672,0.0
15,2018,3,0.0,744,0.0
16,2018,4,292.19174640510005,720,0.1352739566690278
17,2018,5,386.54806564390003,744,0.17318461722396955
18,2018,6,284.4729543622,720,0.13170044183435187
19,2018,7,319.9219731859,744,0.14333421737719534
20,2018,8,398.7438161887,744,0.1786486631669803
21,2018,9,438.43458984219996,720,0.20297897677879628
22,2018,10,522.9611347209,744,0.23430158365631717
23,2018,11,596.6521281980001,720,0.27622783712870375
24,2018,12,595.6371111003,744,0.2668625049732527
25,2019,1,629.0530853231,744,0.2818338195892025
26,2019,2,525.4848162111,672,0.2606571508983631
27,2019,3,62.2460629557,96,0.216132163040625
