,id_central,central_nombre,fecha,hora,generacion,energia_ernc,tipo_central
2880,430,SAN PEDRO,2017-02-01,1,0.0,0.0,Solar
2881,430,SAN PEDRO,2017-02-01,2,0.0,0.0,Solar
2882,430,SAN PEDRO,2017-02-01,3,0.0,0.0,Solar
2883,430,SAN PEDRO,2017-02-01,4,0.0,0.0,Solar
2884,430,SAN PEDRO,2017-02-01,5,0.0,0.0,Solar
2885,430,SAN PEDRO,2017-02-01,6,0.0,0.0,Solar
2886,430,SAN PEDRO,2017-02-01,7,0.0,0.0,Solar
2887,430,SAN PEDRO,2017-02-01,8,0.0,0.0,Solar
2888,430,SAN PEDRO,2017-02-01,9,0.0,0.0,Solar
2889,430,SAN PEDRO,2017-02-01,10,0.0,0.0,Solar
2890,430,SAN PEDRO,2017-02-01,11,0.0,0.0,Solar
2891,430,SAN PEDRO,2017-02-01,12,0.0,0.0,Solar
2892,430,SAN PEDRO,2017-02-01,13,0.0,0.0,Solar
2893,430,SAN PEDRO,2017-02-01,14,0.0,0.0,Solar
2894,430,SAN PEDRO,2017-02-01,15,0.0,0.0,Solar
2895,430,SAN PEDRO,2017-02-01,16,0.0,0.0,Solar
2896,430,SAN PEDRO,2017-02-01,17,0.0,0.0,Solar
2897,430,SAN PEDRO,2017-02-01,18,0.0,0.0,Solar
2898,430,SAN PEDRO,2017-02-01,19,0.0,0.0,Solar
2899,430,SAN PEDRO,2017-02-01,20,0.0,0.0,Solar
2900,430,SAN PEDRO,2017-02-01,21,0.0,0.0,Solar
2901,430,SAN PEDRO,2017-02-01,22,0.0,0.0,Solar
2902,430,SAN PEDRO,2017-02-01,23,0.0,0.0,Solar
2903,430,SAN PEDRO,2017-02-01,24,0.0,0.0,Solar
12720,430,SAN PEDRO,2017-02-02,1,0.0,0.0,Solar
12721,430,SAN PEDRO,2017-02-02,2,0.0,0.0,Solar
12722,430,SAN PEDRO,2017-02-02,3,0.0,0.0,Solar
12723,430,SAN PEDRO,2017-02-02,4,0.0,0.0,Solar
12724,430,SAN PEDRO,2017-02-02,5,0.0,0.0,Solar
12725,430,SAN PEDRO,2017-02-02,6,0.0,0.0,Solar
12726,430,SAN PEDRO,2017-02-02,7,0.0,0.0,Solar
12727,430,SAN PEDRO,2017-02-02,8,0.0,0.0,Solar
12728,430,SAN PEDRO,2017-02-02,9,0.0,0.0,Solar
12729,430,SAN PEDRO,2017-02-02,10,0.0,0.0,Solar
12730,430,SAN PEDRO,2017-02-02,11,0.0,0.0,Solar
12731,430,SAN PEDRO,2017-02-02,12,0.0,0.0,Solar
12732,430,SAN PEDRO,2017-02-02,13,0.0,0.0,Solar
12733,430,SAN PEDRO,2017-02-02,14,0.0,0.0,Solar
12734,430,SAN PEDRO,2017-02-02,15,0.0,0.0,Solar
12735,430,SAN PEDRO,2017-02-02,16,0.0,0.0,Solar
12736,430,SAN PEDRO,2017-02-02,17,0.0,0.0,Solar
12737,430,SAN PEDRO,2017-02-02,18,0.0,0.0,Solar
12738,430,SAN PEDRO,2017-02-02,19,0.0,0.0,Solar
12739,430,SAN PEDRO,2017-02-02,20,0.0,0.0,Solar
12740,430,SAN PEDRO,2017-02-02,21,0.0,0.0,Solar
