,year_ms,month_ms,generacion,tot_hr,fp
0,2017,9,2738.58,240,0.1141075
1,2017,10,22347.749000000003,744,0.3003729704301076
2,2017,11,29893.42008,720,0.41518639
3,2017,12,32751.976000000002,744,0.44021473118279575
4,2018,1,26916.043,744,0.36177477150537635
5,2018,2,24337.638,672,0.3621672321428571
6,2018,3,25036.13,744,0.336507123655914
7,2018,4,20070.039,720,0.2787505416666667
8,2018,5,15579.413,744,0.2094007123655914
9,2018,6,14475.453,720,0.20104795833333333
10,2018,7,16391.427,744,0.22031487903225805
11,2018,8,20691.256527957004,744,0.2781082866660888
12,2018,9,22391.331846068002,720,0.3109907200842778
13,2018,10,26272.859000000004,744,0.35312982526881725
14,2018,11,31117.940000000002,720,0.43219361111111115
15,2018,12,31706.57,744,0.4261635752688172
16,2019,1,32085.39,744,0.43125524193548387
17,2019,2,26941.96,672,0.4009220238095238
18,2019,3,3762.3599999999997,96,0.39191249999999994
