,year_ms,month_ms,generacion,tot_hr,fp
0,2017,3,0.0,720,0.0
1,2017,4,0.0,720,0.0
2,2017,5,0.0,744,0.0
3,2017,6,0.0,720,0.0
4,2017,7,0.0,744,0.0
5,2017,8,0.0,744,0.0
6,2017,9,0.0,720,0.0
7,2017,10,0.0,744,0.0
8,2017,11,0.0,720,0.0
9,2017,12,0.0,744,0.0
10,2018,1,0.0,744,0.0
11,2018,2,0.0,672,0.0
12,2018,3,0.0,744,0.0
13,2018,4,0.0,720,0.0
14,2018,5,193.69556621229998,744,0.0867811676578405
15,2018,6,210.2640580124,720,0.09734447130203704
16,2018,7,329.7463316845,744,0.14773581168660394
17,2018,8,409.7654297295,744,0.18358666206518817
18,2018,9,463.4579704112,720,0.21456387519037037
19,2018,10,608.4986366059001,744,0.2726248371890233
20,2018,11,710.7007469041,720,0.32902812356671296
21,2018,12,710.5953377676,744,0.31836708681344084
22,2019,1,692.7406963052999,744,0.31036769547728493
23,2019,2,576.3852655982,672,0.28590538968164686
24,2019,3,71.9669684948,96,0.2498853072736111
