,id_central,central_nombre,fecha,hora,generacion,energia_ernc,tipo_central
3264,498.0,VALLE DE LA LUNA II,2018-11-01,1,2.71263e-05,2.71263e-05,Solar
3265,498.0,VALLE DE LA LUNA II,2018-11-01,2,2.7557399999999998e-05,2.7557399999999998e-05,Solar
3266,498.0,VALLE DE LA LUNA II,2018-11-01,3,2.79442e-05,2.79442e-05,Solar
3267,498.0,VALLE DE LA LUNA II,2018-11-01,4,2.90225e-05,2.90225e-05,Solar
3268,498.0,VALLE DE LA LUNA II,2018-11-01,5,2.8627600000000004e-05,2.8627600000000004e-05,Solar
3269,498.0,VALLE DE LA LUNA II,2018-11-01,6,2.89918e-05,2.89918e-05,Solar
3270,498.0,VALLE DE LA LUNA II,2018-11-01,7,2.88723e-05,2.88723e-05,Solar
3271,498.0,VALLE DE LA LUNA II,2018-11-01,8,2.91751e-05,2.91751e-05,Solar
3272,498.0,VALLE DE LA LUNA II,2018-11-01,9,2.9347600000000003e-05,2.9347600000000003e-05,Solar
3273,498.0,VALLE DE LA LUNA II,2018-11-01,10,3.10192e-05,3.10192e-05,Solar
3274,498.0,VALLE DE LA LUNA II,2018-11-01,11,0.2689473039,0.2689473039,Solar
3275,498.0,VALLE DE LA LUNA II,2018-11-01,12,0.574882805,0.574882805,Solar
3276,498.0,VALLE DE LA LUNA II,2018-11-01,13,0.7691574554999999,0.7691574554999999,Solar
3277,498.0,VALLE DE LA LUNA II,2018-11-01,14,1.0148217469,1.0148217469,Solar
3278,498.0,VALLE DE LA LUNA II,2018-11-01,15,1.4775691222999998,1.4775691222999998,Solar
3279,498.0,VALLE DE LA LUNA II,2018-11-01,16,2.5124139405,2.5124139405,Solar
3280,498.0,VALLE DE LA LUNA II,2018-11-01,17,1.4591646117,1.4591646117,Solar
3281,498.0,VALLE DE LA LUNA II,2018-11-01,18,0.6735164489,0.6735164489,Solar
3282,498.0,VALLE DE LA LUNA II,2018-11-01,19,0.2204828491,0.2204828491,Solar
3283,498.0,VALLE DE LA LUNA II,2018-11-01,20,0.0372075539,0.0372075539,Solar
3284,498.0,VALLE DE LA LUNA II,2018-11-01,21,0.0,0.0,Solar
3285,498.0,VALLE DE LA LUNA II,2018-11-01,22,0.0,0.0,Solar
3286,498.0,VALLE DE LA LUNA II,2018-11-01,23,0.0,0.0,Solar
3287,498.0,VALLE DE LA LUNA II,2018-11-01,24,0.0,0.0,Solar
16560,498.0,VALLE DE LA LUNA II,2018-11-02,1,0.0,0.0,Solar
16561,498.0,VALLE DE LA LUNA II,2018-11-02,2,0.0,0.0,Solar
16562,498.0,VALLE DE LA LUNA II,2018-11-02,3,0.0,0.0,Solar
16563,498.0,VALLE DE LA LUNA II,2018-11-02,4,0.0,0.0,Solar
16564,498.0,VALLE DE LA LUNA II,2018-11-02,5,0.0,0.0,Solar
16565,498.0,VALLE DE LA LUNA II,2018-11-02,6,0.0,0.0,Solar
16566,498.0,VALLE DE LA LUNA II,2018-11-02,7,2.2260000000000002e-07,2.2260000000000002e-07,Solar
16567,498.0,VALLE DE LA LUNA II,2018-11-02,8,0.12412595359999999,0.12412595359999999,Solar
16568,498.0,VALLE DE LA LUNA II,2018-11-02,9,0.3925928803,0.3925928803,Solar
16569,498.0,VALLE DE LA LUNA II,2018-11-02,10,1.0309653473,1.0309653473,Solar
16570,498.0,VALLE DE LA LUNA II,2018-11-02,11,1.3338014069,1.3338014069,Solar
16571,498.0,VALLE DE LA LUNA II,2018-11-02,12,2.6482743531,2.6482743531,Solar
16572,498.0,VALLE DE LA LUNA II,2018-11-02,13,2.6604711303,2.6604711303,Solar
16573,498.0,VALLE DE LA LUNA II,2018-11-02,14,2.7085701904,2.7085701904,Solar
16574,498.0,VALLE DE LA LUNA II,2018-11-02,15,2.6827333375,2.6827333375,Solar
16575,498.0,VALLE DE LA LUNA II,2018-11-02,16,2.6839509277,2.6839509277,Solar
16576,498.0,VALLE DE LA LUNA II,2018-11-02,17,2.6714021606,2.6714021606,Solar
16577,498.0,VALLE DE LA LUNA II,2018-11-02,18,1.8071598054,1.8071598054,Solar
16578,498.0,VALLE DE LA LUNA II,2018-11-02,19,1.4965479125999999,1.4965479125999999,Solar
16579,498.0,VALLE DE LA LUNA II,2018-11-02,20,0.2290408879,0.2290408879,Solar
16580,498.0,VALLE DE LA LUNA II,2018-11-02,21,0.0003305956,0.0003305956,Solar
16581,498.0,VALLE DE LA LUNA II,2018-11-02,22,0.0,0.0,Solar
16582,498.0,VALLE DE LA LUNA II,2018-11-02,23,0.0,0.0,Solar
16583,498.0,VALLE DE LA LUNA II,2018-11-02,24,0.0,0.0,Solar
28152,498.0,VALLE DE LA LUNA II,2018-11-03,1,0.0,0.0,Solar
28153,498.0,VALLE DE LA LUNA II,2018-11-03,2,0.0,0.0,Solar
28154,498.0,VALLE DE LA LUNA II,2018-11-03,3,0.0,0.0,Solar
28155,498.0,VALLE DE LA LUNA II,2018-11-03,4,0.0,0.0,Solar
28156,498.0,VALLE DE LA LUNA II,2018-11-03,5,0.0,0.0,Solar
28157,498.0,VALLE DE LA LUNA II,2018-11-03,6,0.0,0.0,Solar
28158,498.0,VALLE DE LA LUNA II,2018-11-03,7,0.0005543861,0.0005543861,Solar
28159,498.0,VALLE DE LA LUNA II,2018-11-03,8,0.46629495810000005,0.46629495810000005,Solar
28160,498.0,VALLE DE LA LUNA II,2018-11-03,9,1.8326325074,1.8326325074,Solar
28161,498.0,VALLE DE LA LUNA II,2018-11-03,10,2.4875574340999997,2.4875574340999997,Solar
28162,498.0,VALLE DE LA LUNA II,2018-11-03,11,2.6188492432,2.6188492432,Solar
28163,498.0,VALLE DE LA LUNA II,2018-11-03,12,2.6092643432,2.6092643432,Solar
28164,498.0,VALLE DE LA LUNA II,2018-11-03,13,2.5913297729,2.5913297729,Solar
28165,498.0,VALLE DE LA LUNA II,2018-11-03,14,2.595074585,2.595074585,Solar
28166,498.0,VALLE DE LA LUNA II,2018-11-03,15,2.6107469483,2.6107469483,Solar
28167,498.0,VALLE DE LA LUNA II,2018-11-03,16,2.6268481446000003,2.6268481446000003,Solar
28168,498.0,VALLE DE LA LUNA II,2018-11-03,17,2.5862175294,2.5862175294,Solar
28169,498.0,VALLE DE LA LUNA II,2018-11-03,18,2.2858334349000002,2.2858334349000002,Solar
28170,498.0,VALLE DE LA LUNA II,2018-11-03,19,1.6571565246000002,1.6571565246000002,Solar
28171,498.0,VALLE DE LA LUNA II,2018-11-03,20,0.35293611049999996,0.35293611049999996,Solar
28172,498.0,VALLE DE LA LUNA II,2018-11-03,21,0.0004711236,0.0004711236,Solar
28173,498.0,VALLE DE LA LUNA II,2018-11-03,22,0.0,0.0,Solar
28174,498.0,VALLE DE LA LUNA II,2018-11-03,23,0.0,0.0,Solar
28175,498.0,VALLE DE LA LUNA II,2018-11-03,24,0.0,0.0,Solar
37968,498.0,VALLE DE LA LUNA II,2018-11-04,1,0.0,0.0,Solar
37969,498.0,VALLE DE LA LUNA II,2018-11-04,2,0.0,0.0,Solar
37970,498.0,VALLE DE LA LUNA II,2018-11-04,3,0.0,0.0,Solar
37971,498.0,VALLE DE LA LUNA II,2018-11-04,4,0.0,0.0,Solar
37972,498.0,VALLE DE LA LUNA II,2018-11-04,5,0.0,0.0,Solar
37973,498.0,VALLE DE LA LUNA II,2018-11-04,6,0.0,0.0,Solar
37974,498.0,VALLE DE LA LUNA II,2018-11-04,7,0.0001524498,0.0001524498,Solar
37975,498.0,VALLE DE LA LUNA II,2018-11-04,8,0.5190992031,0.5190992031,Solar
37976,498.0,VALLE DE LA LUNA II,2018-11-04,9,1.9469212036,1.9469212036,Solar
37977,498.0,VALLE DE LA LUNA II,2018-11-04,10,2.5187832641,2.5187832641,Solar
37978,498.0,VALLE DE LA LUNA II,2018-11-04,11,2.637880371,2.637880371,Solar
37979,498.0,VALLE DE LA LUNA II,2018-11-04,12,2.6516693726,2.6516693726,Solar
37980,498.0,VALLE DE LA LUNA II,2018-11-04,13,2.6399145509,2.6399145509,Solar
37981,498.0,VALLE DE LA LUNA II,2018-11-04,14,2.6464079590000003,2.6464079590000003,Solar
37982,498.0,VALLE DE LA LUNA II,2018-11-04,15,2.6260380859,2.6260380859,Solar
37983,498.0,VALLE DE LA LUNA II,2018-11-04,16,2.6406980592,2.6406980592,Solar
37984,498.0,VALLE DE LA LUNA II,2018-11-04,17,2.6094984741,2.6094984741,Solar
37985,498.0,VALLE DE LA LUNA II,2018-11-04,18,2.4793094483,2.4793094483,Solar
37986,498.0,VALLE DE LA LUNA II,2018-11-04,19,1.774374115,1.774374115,Solar
37987,498.0,VALLE DE LA LUNA II,2018-11-04,20,0.3879402395,0.3879402395,Solar
37988,498.0,VALLE DE LA LUNA II,2018-11-04,21,0.000129541,0.000129541,Solar
37989,498.0,VALLE DE LA LUNA II,2018-11-04,22,0.0,0.0,Solar
37990,498.0,VALLE DE LA LUNA II,2018-11-04,23,0.0,0.0,Solar
37991,498.0,VALLE DE LA LUNA II,2018-11-04,24,0.0,0.0,Solar
45960,498.0,VALLE DE LA LUNA II,2018-11-05,1,0.0,0.0,Solar
45961,498.0,VALLE DE LA LUNA II,2018-11-05,2,0.0,0.0,Solar
45962,498.0,VALLE DE LA LUNA II,2018-11-05,3,0.0,0.0,Solar
45963,498.0,VALLE DE LA LUNA II,2018-11-05,4,0.0,0.0,Solar
45964,498.0,VALLE DE LA LUNA II,2018-11-05,5,0.0,0.0,Solar
45965,498.0,VALLE DE LA LUNA II,2018-11-05,6,0.0,0.0,Solar
45966,498.0,VALLE DE LA LUNA II,2018-11-05,7,0.0008662081,0.0008662081,Solar
45967,498.0,VALLE DE LA LUNA II,2018-11-05,8,0.5457586345000001,0.5457586345000001,Solar
45968,498.0,VALLE DE LA LUNA II,2018-11-05,9,1.9257412719,1.9257412719,Solar
45969,498.0,VALLE DE LA LUNA II,2018-11-05,10,2.4881314696,2.4881314696,Solar
45970,498.0,VALLE DE LA LUNA II,2018-11-05,11,2.6102363892,2.6102363892,Solar
45971,498.0,VALLE DE LA LUNA II,2018-11-05,12,2.6050490112999998,2.6050490112999998,Solar
45972,498.0,VALLE DE LA LUNA II,2018-11-05,13,2.582492981,2.582492981,Solar
45973,498.0,VALLE DE LA LUNA II,2018-11-05,14,2.5849667968,2.5849667968,Solar
45974,498.0,VALLE DE LA LUNA II,2018-11-05,15,2.586555664,2.586555664,Solar
45975,498.0,VALLE DE LA LUNA II,2018-11-05,16,2.3043129273,2.3043129273,Solar
45976,498.0,VALLE DE LA LUNA II,2018-11-05,17,2.0051805726,2.0051805726,Solar
45977,498.0,VALLE DE LA LUNA II,2018-11-05,18,2.46140979,2.46140979,Solar
45978,498.0,VALLE DE LA LUNA II,2018-11-05,19,1.7805096741,1.7805096741,Solar
45979,498.0,VALLE DE LA LUNA II,2018-11-05,20,0.4099760533,0.4099760533,Solar
45980,498.0,VALLE DE LA LUNA II,2018-11-05,21,0.00021301580000000002,0.00021301580000000002,Solar
45981,498.0,VALLE DE LA LUNA II,2018-11-05,22,0.0,0.0,Solar
45982,498.0,VALLE DE LA LUNA II,2018-11-05,23,0.0,0.0,Solar
45983,498.0,VALLE DE LA LUNA II,2018-11-05,24,0.0,0.0,Solar
61032,498.0,VALLE DE LA LUNA II,2018-11-06,1,0.0,0.0,Solar
61033,498.0,VALLE DE LA LUNA II,2018-11-06,2,0.0,0.0,Solar
61034,498.0,VALLE DE LA LUNA II,2018-11-06,3,0.0,0.0,Solar
61035,498.0,VALLE DE LA LUNA II,2018-11-06,4,0.0,0.0,Solar
61036,498.0,VALLE DE LA LUNA II,2018-11-06,5,0.0,0.0,Solar
61037,498.0,VALLE DE LA LUNA II,2018-11-06,6,0.0,0.0,Solar
61038,498.0,VALLE DE LA LUNA II,2018-11-06,7,0.0013659929,0.0013659929,Solar
61039,498.0,VALLE DE LA LUNA II,2018-11-06,8,0.5380761871,0.5380761871,Solar
61040,498.0,VALLE DE LA LUNA II,2018-11-06,9,1.9346084595,1.9346084595,Solar
61041,498.0,VALLE DE LA LUNA II,2018-11-06,10,2.4682227783,2.4682227783,Solar
61042,498.0,VALLE DE LA LUNA II,2018-11-06,11,2.5813811036,2.5813811036,Solar
61043,498.0,VALLE DE LA LUNA II,2018-11-06,12,2.6055842895,2.6055842895,Solar
61044,498.0,VALLE DE LA LUNA II,2018-11-06,13,2.4958990479,2.4958990479,Solar
61045,498.0,VALLE DE LA LUNA II,2018-11-06,14,2.576723877,2.576723877,Solar
61046,498.0,VALLE DE LA LUNA II,2018-11-06,15,2.5757731933000003,2.5757731933000003,Solar
61047,498.0,VALLE DE LA LUNA II,2018-11-06,16,2.5799076538,2.5799076538,Solar
61048,498.0,VALLE DE LA LUNA II,2018-11-06,17,2.5574243774000003,2.5574243774000003,Solar
61049,498.0,VALLE DE LA LUNA II,2018-11-06,18,2.0884178162,2.0884178162,Solar
61050,498.0,VALLE DE LA LUNA II,2018-11-06,19,1.5614430542,1.5614430542,Solar
61051,498.0,VALLE DE LA LUNA II,2018-11-06,20,0.3972988806,0.3972988806,Solar
61052,498.0,VALLE DE LA LUNA II,2018-11-06,21,0.00229217,0.00229217,Solar
61053,498.0,VALLE DE LA LUNA II,2018-11-06,22,0.0,0.0,Solar
61054,498.0,VALLE DE LA LUNA II,2018-11-06,23,0.0,0.0,Solar
61055,498.0,VALLE DE LA LUNA II,2018-11-06,24,0.0,0.0,Solar
68760,498.0,VALLE DE LA LUNA II,2018-11-07,1,0.0,0.0,Solar
68761,498.0,VALLE DE LA LUNA II,2018-11-07,2,0.0,0.0,Solar
68762,498.0,VALLE DE LA LUNA II,2018-11-07,3,0.0,0.0,Solar
68763,498.0,VALLE DE LA LUNA II,2018-11-07,4,0.0,0.0,Solar
68764,498.0,VALLE DE LA LUNA II,2018-11-07,5,0.0,0.0,Solar
68765,498.0,VALLE DE LA LUNA II,2018-11-07,6,0.0,0.0,Solar
68766,498.0,VALLE DE LA LUNA II,2018-11-07,7,0.0013805258,0.0013805258,Solar
68767,498.0,VALLE DE LA LUNA II,2018-11-07,8,0.5037033559,0.5037033559,Solar
68768,498.0,VALLE DE LA LUNA II,2018-11-07,9,1.8974583740000002,1.8974583740000002,Solar
68769,498.0,VALLE DE LA LUNA II,2018-11-07,10,2.4257183227000003,2.4257183227000003,Solar
68770,498.0,VALLE DE LA LUNA II,2018-11-07,11,2.5499708252,2.5499708252,Solar
68771,498.0,VALLE DE LA LUNA II,2018-11-07,12,2.5505193482,2.5505193482,Solar
68772,498.0,VALLE DE LA LUNA II,2018-11-07,13,2.5282193603,2.5282193603,Solar
68773,498.0,VALLE DE LA LUNA II,2018-11-07,14,2.5254598999,2.5254598999,Solar
68774,498.0,VALLE DE LA LUNA II,2018-11-07,15,2.5244405516999997,2.5244405516999997,Solar
68775,498.0,VALLE DE LA LUNA II,2018-11-07,16,2.5300639038,2.5300639038,Solar
68776,498.0,VALLE DE LA LUNA II,2018-11-07,17,2.5050890503,2.5050890503,Solar
68777,498.0,VALLE DE LA LUNA II,2018-11-07,18,1.1416758973999999,1.1416758973999999,Solar
68778,498.0,VALLE DE LA LUNA II,2018-11-07,19,1.6798386536,1.6798386536,Solar
68779,498.0,VALLE DE LA LUNA II,2018-11-07,20,0.2785873918,0.2785873918,Solar
68780,498.0,VALLE DE LA LUNA II,2018-11-07,21,2.9511e-05,2.9511e-05,Solar
68781,498.0,VALLE DE LA LUNA II,2018-11-07,22,1.6421000000000001e-06,1.6421000000000001e-06,Solar
68782,498.0,VALLE DE LA LUNA II,2018-11-07,23,0.0,0.0,Solar
68783,498.0,VALLE DE LA LUNA II,2018-11-07,24,1.99918e-05,1.99918e-05,Solar
75768,498.0,VALLE DE LA LUNA II,2018-11-08,1,2.8022199999999997e-05,2.8022199999999997e-05,Solar
75769,498.0,VALLE DE LA LUNA II,2018-11-08,2,2.84216e-05,2.84216e-05,Solar
75770,498.0,VALLE DE LA LUNA II,2018-11-08,3,2.9271999999999997e-05,2.9271999999999997e-05,Solar
75771,498.0,VALLE DE LA LUNA II,2018-11-08,4,2.9677199999999998e-05,2.9677199999999998e-05,Solar
