,year_ms,month_ms,generacion,tot_hr,fp
0,2018,5,182.6612799964,384,0.1585601388857639
1,2018,6,176.9885893461,408,0.14459852070759804
2,2018,7,289.02595385029997,648,0.1486759021863683
3,2018,8,398.78556103259996,744,0.17866736605403225
4,2018,9,498.76271205959995,720,0.23090866299055554
5,2018,10,614.3776772027,744,0.27525881595103047
6,2018,11,752.0767552944999,720,0.34818368300671293
7,2018,12,747.2095670458,744,0.334771311400448
8,2019,1,745.567193511,744,0.33403548096370966
9,2019,2,608.0272508313999,672,0.3016008188647817
10,2019,3,0.0,72,0.0
