,year_ms,month_ms,generacion,tot_hr,fp
0,2016,12,17.057000000000002,96,0
1,2017,1,114.73599999999999,744,0
2,2017,2,177.449,672,0
3,2017,3,400.142,744,0
4,2017,4,344.238,720,0
5,2017,5,201.213,744,0
6,2017,6,206.469,720,0
7,2017,7,284.83500000000004,744,0
8,2017,8,352.192,744,0
9,2017,9,366.27599999999995,720,0
10,2017,10,487.977,744,0
11,2017,11,480.98800000000006,720,0
12,2017,12,543.864,744,0
13,2018,1,508.188,744,0
14,2018,2,415.71,672,0
15,2018,3,483.84799999999996,744,0
16,2018,4,352.1938106989,720,0
17,2018,5,269.11788138270003,744,0
18,2018,6,267.4278087897,720,0
19,2018,7,280.4116597003,744,0
20,2018,8,372.77463986370003,744,0
21,2018,9,335.7842021901,720,0
22,2018,10,454.5632672993,744,0
23,2018,11,509.96788898039995,720,0
24,2018,12,536.4865884815,744,0
25,2019,1,532.3269152856001,744,0
26,2019,2,440.3348093649,672,0
27,2019,3,50.7429620967,96,0
